event_id,timestamp,entity_id,entity_type,event_type,outcome,source_ip,resource,bytes_transferred,severity,metadata
EVT-W2-NORM-user_emma-005,2026-09-02T16:40:00+00:00,user_emma,user,data_transfer,success,10.0.1.61,/shared/docs/report_1.pdf,13840,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_carol-003,2026-09-02T13:05:00+00:00,user_carol,user,file_access,success,10.0.1.142,/shared/docs/report_2.pdf,37073,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-NORM-user_kevin-007,2026-09-02T10:30:00+00:00,user_kevin,user,data_transfer,success,10.0.1.52,/shared/docs/report_6.pdf,34135,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_kevin""}"
EVT-W2-NORM-user_bob-006,2026-09-02T16:17:00+00:00,user_bob,user,file_access,success,10.0.1.24,/shared/docs/report_2.pdf,13221,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-NORM-user_frank-000,2026-09-02T13:35:00+00:00,user_frank,user,login,success,10.0.1.60,/shared/docs/report_9.pdf,27238,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-NORM-user_mike-002,2026-09-02T13:22:00+00:00,user_mike,user,login,success,10.0.1.170,/shared/docs/report_10.pdf,33753,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_mike""}"
EVT-W2-T1-ODD-002,2026-09-03T03:00:00+00:00,user_jdoe,user,file_access,success,198.51.100.44,/secure/finance/q3_salary_data.xlsx,1200000,high,"{""session"": ""nightly_ssh""}"
EVT-W2-NORM-user_bob-000,2026-09-02T10:18:00+00:00,user_bob,user,file_access,success,10.0.1.24,/shared/docs/report_7.pdf,45836,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-NORM-user_grace-006,2026-09-02T13:14:00+00:00,user_grace,user,login,success,10.0.1.104,/shared/docs/report_7.pdf,6951,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-T1-ODD-001,2026-09-03T02:45:00+00:00,user_jdoe,user,file_access,success,198.51.100.44,/secure/finance/q3_salary_data.xlsx,1200000,high,"{""session"": ""nightly_ssh""}"
EVT-W2-NORM-user_grace-003,2026-09-02T15:41:00+00:00,user_grace,user,login,success,10.0.1.104,/shared/docs/report_6.pdf,44694,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-NORM-user_oscar-008,2026-09-02T15:18:00+00:00,user_oscar,user,login,success,10.0.1.193,/shared/docs/report_7.pdf,1866,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_frank-009,2026-09-02T17:24:00+00:00,user_frank,user,data_transfer,success,10.0.1.60,/shared/docs/report_6.pdf,12863,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-NORM-user_peggy-004,2026-09-02T11:15:00+00:00,user_peggy,user,login,success,10.0.1.47,/shared/docs/report_3.pdf,17275,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_heidi-003,2026-09-02T13:40:00+00:00,user_heidi,user,data_transfer,success,10.0.1.147,/shared/docs/report_5.pdf,30439,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_heidi""}"
EVT-W2-NORM-user_kevin-008,2026-09-02T10:28:00+00:00,user_kevin,user,file_access,success,10.0.1.52,/shared/docs/report_10.pdf,3341,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_kevin""}"
EVT-W2-NORM-user_grace-011,2026-09-02T10:39:00+00:00,user_grace,user,data_transfer,success,10.0.1.104,/shared/docs/report_10.pdf,45269,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
